eng,jap
survey,調査／を調査する
obey,従う
reward,報いる、ほうびを与える／報酬、ほうび
prefer,の方を好む
contract,契約、契約書
agency,代理店、取扱店、機関
double,2倍になる、倍増する
release,発表する、発売する
management,経営（陣）、管理
financial,金銭上の、財政の、お金の
relax,ゆるめる、和らげる
profitable,もうかる、利益になる
hire,を雇う、賃借りする
performance,業績、仕事ぶり、性能、公演
charge,を請求する、を充電する／料金、責任
graduate,卒業する
reschedule,予定を変更する
postpone,延期する
pleased,喜んで、満足して
argue,議論する、口論する
lead,を導く
document,記録する、文書を提供する／文書
confirm,確認する
illustrate,説明する、図解する
recommend,推薦する
award,賞／授与する
examine,詳しく調べる、吟味する
propose,提案する、申し出る
clothing,衣類
pick up,を車で拾う、迎えに行く、受け取る
carry,扱う、運ぶ、所有する
display,展示／展示する
conduct,を行う、導く、実行する、実施する
represent,代表する
candidate,候補者
exclude,を除く、排除する
possess,所有する
exhibit,展示物、展示会／展示する
invest,投資する、注ぎ込む
overlook,見逃す
session,時間、集まり
purchase,購入する／購入品
transform,変える、変容させる
note,注意する、述べる／メモ
ship,出荷する、発送する
dispute,異議を唱える
process,処理する／プロセス、過程、処理
simulate,まねる、模倣する
apply,応募する、応用する
instruction,説明書、説明、指示
report,報告する、直属する
membership,会員、会員資格、会員数
based,拠点のある、基づく
advance,先行した、事前の／進歩、前進
committee,委員会
successful,成功した、うまく行く
excellent,素晴らしい
industry,産業、業界
fee,料金
accept,受け入れる、受け付ける
upcoming,今度の
latest,最新の
submit,提出する
transportation,輸送手段
résumé,履歴書
executive,重役、取締役／重役（用）の、高級な
previous,前の、以前の
proposal,提案、提案書
supply,必需品／供給する
enclose,同封する、囲む
policy,規定、方針
register,登録する／レジ
arrange,手配する、並べる
bill,請求書、紙幣／請求書を送る
approve,承認する、賛成する
opportunity,機会、チャンス
deadline,締め切り、期限
corporate,企業の、法人の
warranty,保証、保証書
necessary,必要な
reserve,予約する、確保する／蓄え
resident,住民、住人
create,創造する、作り出す
mention,述べる、言及する／言及
appreciate,感謝する、高く評価する
replacement,交換、交換品、後任
significant,かなりの、大幅な、重要な
employer,雇用主
valuable,貴重な
profitability,利益率、利益性
publication,出版物
customer,顧客、客
stock,株式、在庫（品）／（物）を蓄える
information,情報、インフォメーション
downtown,中心街の／中心街に［で］／中心街
treat,を取り扱う、処理する
graduation,卒業（式）
emphasize,を強調する
corporation,法人
regarding,に関して
article,記事、（契約書など）の条項、品物
renovate,改装する、修理する
prevent,防ぐ、阻む
contain,含む、所有する
considerable,（量や程度が）かなりの
sign up for,申し込む
reduction,減少、削減
delay,遅らせる、延期する
remain,残る、そのままでいる
fix,を修理する、を固定する
negotiate,交渉する、協議する
solve,を解く、解決する
pass out,配る
consecutive,連続した
print,活字体で書く
authorize,公認する、権限を与える
counsel,助言する、相談する
reflect,映し出す、反射する
achievement,成果、業績
advise,助言する、意見する、忠告する
damage,損害／に損害を与える
adjust,調整する
appliance,電化製品
improve,改善する
estimate,見積もり／を見積もる
prove,わかる、証明する
rank,位置する
feedback,フィードバック、反応
datermine,決定する、決意する
analysis,分析
hesitate,ためらう、躊躇する
selection,選ぶこと、選択
vote,投票する、票決する
ladder,はしご
object,反対する、異議を唱える
retire,退職する、引退する
status,状況、地位
fuel,燃料
nearly,ほとんど、もう少しで
cafeteria,社員食堂
determine,決定する、判断する、決心する
crew,乗務員、乗組員
raise,を引き上げる、を持ち上げる
finally,ついに、最終的に
because of ,のせいで、のおかげで
important,重要な、重大な
suitable,適した、ふさわしい
qualified,資格条件を満たした
coordinate,（複数の人や物）をまとめる、調整する
medical,医療の
boost,を強化する、増加させる
gain,を得る、獲得する／利益、得ること
constructive,建設的な、前向きな
resolve,解決する
reason,理由、動機
export,輸出／を輸出する
attempt,試み／を試みる
alternative,代わりの／代案、選択肢
consumer,消費者
implication,影響、暗示、言葉の意味合い
inovolve,を伴う、（人）を巻き込む
grant,（権利など）を与える／助成金
tip,アドバイス、秘訣
operation,操作、運転、事業
figure,数字、人物
enthusiasm,熱中、熱狂
imply,ほのめかす、暗示する
general,全般的な、一般的な
settle,解決する
correspondence,（文書などの）やりとり、通信
point out,指摘する
possibility,可能性
convince,確信させる、納得させる
inspect,検査する、点検する
discussion,議論、話し合い
adopt,採用する、導入する
retailer,小売業者
book,予約する
satisfaction,満足
bring up,持ち出す、提起する、育てる
summary,あらすじ、要約
hang,掛かる
intend,意図する
role,（人の）役割
match,調和する、似合う
pharmaceutical,製薬の、調剤の
post,提示する、投稿する
comfortably,快適に、楽に
trust,信用／を信用する
decline,断る、下降する
complete,完了する、記入する
term,（契約の）条件、期間
obtain,取得する、得る
permission,許可、承諾
afford,する余裕がある
check,（を）確認する、チェックする
proceed,進む、続行する
indispensable,必須の、絶対必要な
achieve,達成する
sign up,に登録する、契約する
respectively,それぞれ、各々
wave,手を振る
unit,1個、単位
stress,強調する
arrangement,手配、準備
glance,チラッと見る
enhance,向上させる、強化する
evaluate,評価する
widen,広げる
promote,昇進させる、宣伝する
discover,発見する
consist,から成る、で構成される
reach,連絡をとる
combine,組み合わせる、結合する
foresee,予見する、予測する
divide,分割する
admire,賞賛する、感心する
attach,添付する、取り付ける
approach,近づく
hold,開催する
hand out,配る
expose,さらす、触れさせる
plug,差し込む、接続する
hang up,電話を切る
sew,縫う
finalize,仕上げる、最終的に承認する
praise,ほめる、賞賛する
lean,寄りかかる、立て掛ける
project,見積もる、計画する
exceed,超える
run out,が不足する、尽きる
store,保存する、蓄える、しまっておく
identify,特定する、気づく
deserve,値する
assure,保証する、確信させる
appoint,任命する、指名する
advertise,宣伝する
try on,試着する
public,一般の人々、公衆
checkout,レジ、チェックアウト
entry,入場、参加
progress,前進、進行
issue,課題、論争点
produce,農産物、物産
balance,残金、バランス
relief,安らぎ、緩和、除去
vase,花瓶
patio,テラス、中庭
line,ライン、線
sign,表れ、徴候
period,期間
capacity,能力、収容力
celebration,お祝い、祝典
flyer,チラシ、広告
cooperation,協力、協業
study,研究、調査
effect,効果
cutlery,食器
expense,費用、経費
overseas,海外の／海外で
satisfied,満足した
resonable,（値段が）手ごろな、妥当な
unable,（することが）できない
legal,法律に関する、合法の
regulation,規制、規則
launch,開始、発売／開始する、発売する
recommendation,推薦
claim,申し立て、主張、所有権／主張する
insurance,保険
departure,出発、逸脱
mayor,町長、市長
district,地区
former,前の、かつての／前者
modern,現代的な、近代的な
option,選択肢、オプション
search,捜索、検索／探す、検索する
specific,具体的な、特定の
agricultural,農業の
historical,歴史（上）の
helpful,役立つ、助けになる
complaint,苦情、クレーム
related,関連した
simply,単純に、単に
unique,他にはない、独自の、特有の
concerning,に関する
reputation,評判
component,部品
enjoyable,楽しい
existing,従来の、既存の
alike,同様に／よく似た
connection,接続、つながり、関連、乗り継ぎ
eager,したがる、熱望する
fairly,かなり
absolutely,完全に、間違いなく、まったく
atmosphere,雰囲気
calculate,計算する
contrast,対照、はっきりした違い／対照的である
monitor,監視する／（コンピュータの）モニター
occasionally,時々
serious,重大な、真剣な、重要な
strength,強さ、強度、（液体等の）重さ
equally,同じように、均等に
informal,非公式の、カジュアルな
renowned,名高い、著名な
depend on ,次第である、に頼る
sudden,急な、突然の
look forward to ,を楽しみにする
request,依頼／を依頼する
access,にアクセスする／アクセス
typical,典型的な
security,安全、無事
exception,例外
acceptable,許容の、受け入れることのできる
in advance,事前に
own,を所有する／自分の
worldwide,世界的な／世界中で
economical,経済的な、節約の
case,状況、場合
favorite,お気に入りの、大好きな
staff,スタッフ
judge,判断する、裁く、評価する／裁判官
market,市場／を市場で売る
rise,増える、上昇する
concern,心配事、懸念事項
salary,給料
in the event of ,万一の場合には
weigh,の重さを量る、の重さがある
development,開発、発達、発展
quite,かなり、すっかり
strict,（人や規制が）厳しい
contemporary,現代の、同時代の
complimentary,無料の、称賛する
defeat,（敵）を負かす／敗北、負け
establishment,設立（制定）すること、組織
similar,類似した
extra,余分の、特別の、追加の
clerical,事務の、書記の
substance,物質、実体
discount,割引／を無視する
shipment,（商品の）発送、船積み
occupation,職業
chemical,薬品、化学物質
media,媒体、マスメディア
campaign,キャンペーン
colleague,同僚
influence,影響、作用
trend,動向、トレンド
diner,食事客
microscope,顕微鏡
stool,（背もたれのない）いす
fellow,仲間
party,グループ、当事者
bureau,案内所、事務局
leave,休暇、許可
series,連続、シリーズ
behavior,振る舞い、行動
instrument,楽器、道具、器具
concentration,集中
wealth,豊富さ、富
cashier,レジ
spectator,観客
supervisor,上司、監督者
draft,原稿、下書き
forecast,予測、予報
comfort,快適さ、満足、慰め
division,部門、分割、課
task,仕事、課題
excuse,弁解、口実
difficulty,困難、問題点
drawing,抽選会、素描
presence,存在感、出席
economy,経済、節約
shelter,避難所、収容施設
workplace,職場
professor,教授
memorandum,社内文書、覚え書き
clerk,事務員、受付係
plant,工場
cancellation,取り消し、キャンセル
lawn,芝生
traffic,交通、通行
work,作品、仕事
amount,量
pedestrian,歩行者
scale,規模、目盛り
shortage,不足
venue,会場、開催地
suburb,郊外
distinctive,独自の、特色となる
persuasion,説得、説得力
acceptance,受諾、受け入れ、採用、合格
ensure,保証する、請け合う
discretion,裁量の自由、分別
urgent,緊急の
analyst,アナリスト、専門の分析者
sponsor,のスポンサーをする／スポンサー
service,業務、サービス、奉仕
manager,マネージャー、経営者
variety,多様性
share,をシェアする、共有する
consultant,コンサルタント、顧問
critical,批判的な、危機的な、重大な
fluent,流暢な、堪能な
deal,取引／扱う、を取引する
state-of-the-art,最先端の、最新の
carefully,慎重に
contrary,正反対の
package,（梱包した）荷物
disposal,（不要物の）処理、処分
urge,強く促す
transport,を輸送する
direction,方向、指示（書）
interruption,中断、（物事を）遮ること
due to ,のせいで、のおかげで
ability,能力、才能
base,の本拠地を置く／土台
attire,衣装、服装
head,進む、を率いる
whether,かどうか
relative,相対的な、関係のある／親戚
both A and B,AもBもどちらも
anticipate,を予期する、期待する
value,価値／（物の価値）を評価する
undergo,経験する
excerpt,抜粋、引用
dentist,歯科医
handling,取り扱い、出荷作業
column,柱、コラム
retail,小売り、販売
invoice,請求書、送り状
reminder,再確認、お知らせ
record,記録
clearance,在庫一掃、清算、許可
curb,縁石
receptionist,受付係
pesticide,殺虫剤
lean over ,に身を乗り出す
element,（を構成する）要素、成分
library,図書館、蔵書、コレクション
unload,（荷物など）を降ろす
minimize,を最小限にする
failure,失敗、故障
multiple,複数の
optimistic,楽観的な
revenue,収支、歳入
recent,最近の
suppose,（を真実だと）思う
plumbing,配管（工事）
comprehensive,総合的な、包括的な、理解力のある
purpose,目的、目標
actual,実際の、現実の
employment,雇用
upset,動揺した／を動揺させる
advantage,有利、利点、強み
product,製品、生産物
theme,テーマ、論題
summarize,要約する
slight,ほんのわずかの
enroll,登録する、入会する、入学する
routine,所定の、日常的に行われる
oppointment,会う約束、アポイントメント
mortgage,抵当／を抵当に入れる
outstanding,傑出した、未払いの
certain,特定の、確かで
solid,固い、堅実な、まじめな
deserted,人の気配がない、さびれた
current,現在の
culinary,料理の
dominant,支配的な、圧倒的な、主要な
viable,実行可能な
attractive,魅力的な
determined,断固とした、決定した
principal,主な、第一の
mobile,移動式の
round-trip,往復旅行の
tight,きつい、ぎっしり詰まった
nearby,近くの
respectful,礼儀正しい、丁寧な
another,もう一つの、別の
abroad,海外で、国外へ
greatly,大いに、非常に
on average,平均して
accordingly,したがって、それに応じて
promptly,すばやく、きっかりに、即座に
consistently,常に、変わらず
otherwise,さもなければ
proudly,誇らしげに、堂々と
formally,正式に、フォーマルに
heavily,大量に、非常に頻繁に、重く
surprisingly,驚いたことに、意外に
rapidly,急速に
side by side,横に並んで
exactly,ちょうど、正確に
meanwhile,その間に、それまでは
kindly,親切に、どうぞ～してください
in the meantime,その間に、話変わって
definitely,絶対に、間違いなく
firmly,固く、確固として
gradually,徐々に、段階的に
eventually,最終的には、結局
hardly,ほとんどない
in a row,連続して
seldom,めったにしない
evenly,平らに、均一に
in common,共通に、共同に
readily,簡単に、すぐに
therefore,したがって、ゆえに
nevertheless,それにもかかわらず
lately,最近、この頃
in person,直接会って、じかに
necessarily,必ずしもでない、必然的に
sharply,急激に、鋭く
somewhat,いくぶん、ある程度
moreover,そのうえ、しかも
widely,広く
altogether,合計して、全部で
increasingly,ますます
including,含めて
besides,さらに
via,経由で
in charge of,を担当している、の責任がある
throughout,くまなく
inquiry,問い合わせ
vision,見通し、先見
knowledge,知識
be absent from ,を欠席する
borrow,を借りる
ban,を禁止する／禁止
sum,を合計する／合計
souvenir,お土産、記念品
either A or B,AかBかどちらか
distant,遠い、離れた、距離がある
abolish,（法律や制度など）を廃止する
surely,必ず、確かに
steady,着実な
competitor,競争相手
insist,を主張する、しつこく要求する
press,報道陣／に圧力をかける
previously,以前は
submission,提出物、提出、投稿
requirement,必要条件、必要なもの
enormous,莫大な、巨大な
consent,同意する、承諾する／同意、承諾
compromise,妥協、譲歩／妥協する、譲歩する
tool,道具
equality,平等、等しいこと
to some degree,ある程度まで
extensive,幅広い、大規模な
citizen,国民、市民
approval,承諾、承認
deprive A of B,AからBを奪う
unveil,を公表する、明らかにする
diligent,勤勉な
inspire,を引き起こす、にひらめきを与える
neither A nor B,AでもBでもない
courteous,丁寧な、礼儀正しい
inspection,（綿密な）調査、視察
exhaust,を使い果たす、ひどく疲れさせる
stockholder,株主
extreme,極度の、極端な
ignore,を無視する
instead,代わりに
unless,しない限り、の場合を除き
train,を教育する、訓練する／電車
willingly,喜んで、進んで
pay attention to ,に注目する、注意する
originate,起源とする
accountant,会計士
profession,専門的職業
encounter,直面する、遭う、出くわす
personalize,自分流にする
overcome,乗り越える、克服する
eligible,資格がある
alternate,行き戻りする、交替する
suspend,一時中断する
generate,生み出す
paperwork,書類、書類作業
restore,復旧させる、取り戻す
initiate,開始する
disregard,無視する
track,追跡する／線路、走路
interact,交流する
substitute,代替する
administer,管理する
administrative,管理の
publicize,宣伝する
tailor,仕立屋、テーラー
coverage,報道、（保険の）補償
flaw,欠陥、欠点
prescription,処方箋
poll,世論調査、投票
refreshment,軽い飲食物
witness,目撃者
timepiece,時計
invantory,在庫、在庫品、棚卸
reliable,信頼できる、頼りになる
remedy,改善策、治療薬
commerce,商業
pillar,柱、大黒柱
carrier,運輸業者
identification,身分証明
collaboration,協力、共同制作
physician,医者
conservation,保護、保存
voucher,引換券、割引券
carpenter,大工
textile,織物
mechanic,機械工
legislation,法律、法律制定
measurement,寸法、測定
fund-raising,資金調達のための、慈善の
accomplished,熟達した、スキルの高い
critic,評論家、批評家
highlight,強調する、スポットを当てる／見どころ
cleaner’s,クリーニング屋
profile,人物紹介する／プロフィール
precision,正確さ
archive,公文書保管所、書庫
utensil,台所用品
subscription,定期購読
counterpart,相当する人（物）
incident,偶然の出来事
stapler,ホチキス
surrounding,周辺の
conclusion,結論
outcome,結果
perspective,視点
anticipated,待ち望まれた
assessment,評価、見積もり
aircraft,航空機
advocate,提唱者、支持者／提唱する
dairy,乳製品、酪農場、酪農業／牛乳の、乳製品の
librarian,図書館員
principle,原理、原則
trademark,商標
phase,段階
limitation,弱点
custodian,管理人、守衛
transit,輸送、通過
manuscript,原稿
landmark,ランドマーク、目印、名所
logistics,物流
correspondent,特派員、通信員
overtime,残業／時間外に
pension,年金
obstacle,障害
consequence,結果
premises,敷地
emphasis,強調、重点
athlete,スポーツ選手
utility,公共料金、公共サービス
attorney,弁護士
transition,移行、転身
reorganization,組織再編
laundry,洗濯（物）
justification,正当化の理由、正当化
fixture,設備、備品
suegery,手術
enthusiastic,熱心な、関心が高い、乗り気である
harvest,収穫
compartment,一区画
means,手段
outline,概要を説明する／概要
shareholder,株主
patient,患者
belongings,所持品、所有物
bid,入札／入札する
excursion,お出かけ、小旅行
territory,担当地区、領地
statue,像、彫像
contractor,請負業者、契約業者
manner,方法、やり方
urban,都会の、都市の、都会での
outlook,見通し、モノの見方
commitment,約束、献身
overview,概要
tuition,授業料
latter,後者
ownership,所有（権）、所有者であること
sentiment,意見、感想
outlet,店舗、コンセント
handful,少数、少量
pastry,焼き菓子
plumber,配管工
on behalf of,を代表して
listing,一覧
characteristic,特徴／特徴的な
sector,部門、分野
interval,間隔
extent,大きさ、範囲、程度
combined,共同の、連合の
duration,継続期間
furnishings,家具、備品、調度品
gathering,集会、集まり
associate,関連付ける／同僚、アシスタント／アシスタントの
florist,花屋
technician,技師
quote,提示価格、引用
investment,投資
dependence,依存
lodging,宿泊所
consideration,検討、考慮、配慮
token,印
stain,染み、汚れ
persistence,粘り強さ
remainder,残り、残存物
partial,部分的な、一部の
patronage,愛顧、後援
jouenal,専門誌
alliance,事業提携、提携関係
dealership,販売特約店
array,大量、多数
constraint,制約
structure,骨組み
garment,衣料品、衣服
displeasure,不愉快、不満
indicator,指標
veterinarian,獣医
typically,通常、典型的に
entirety,全体、全部
restriction,制限
portfolio,作品集
craftspeople,職人
incentive,報酬、刺激
recreation,休養、娯楽
comparable,同等の、匹敵する、類似の
terms,観点、条件、言葉
subordinate,部下
publicity,周知、注目
initiative,新しい計画、主導権
residence,住居
rainfall,降雨、雨量
debut,デビュー
postage,郵便料金
morale,士気
acquaintance,知人、知識
to date,今まで
moderate,ほどほどの、適度な
exceptionally,並外れて、非常に
repeatedly,繰り返し
after all,結局
precisely,正確に
prominently,目立って、傑出して
reportedly,伝えられるところでは
on commission,歩合制で
concentrated,集中的な、濃縮された
on track,軌道に乗って
informally,くだけて、非公式に
intentionally,意図的に
ample,十分な、あり余るほどの
roughly,おおよそ
swiftly,すばやく、迅速に
consequently,結果として
given,を考慮すると、と仮定すると
courtesy of,の好意により
whereas,の一方で
controversial,議論を引き起こす、議論の的になる
instrumental,重要な役割を果たす
scope,範囲、余地
speculation,推測、推量
supplement,補う／付録、付記、栄養補助食品
understaffed,人手不足の
rarely,めったにしない、まれに
logical,妥当な、論理的な、筋の通った
commemorate,祝う、記念する
voluntary,自主的な、任意の
deprive,奪う
dismiss,解雇する
rafting,（いかだやゴムボートでの）川下り
consolidate,統合する
fabric,生地、織物
syndicate,複数の新聞に同時に配給する
revert,戻る
showcase,披露する／お披露目の場、ショーケース
oversee,監督する
freight,貨物、輸送、輸送料／輸送する
accommodate,満たす、合わせる
endorse,支持する
discontinued,（製造・販売が）終了した
pertain,該当する
mentoring,メンター制度
spill,こぼす、こぼれる
carry out,行う、実行する
personalized,個人に合わせた、名前入りの
diversify,多様化する
compliance,（法律・規則等の）順守
deplete,使い果たす
durable,耐久性がある、丈夫な
speculate,予測する
prototype,試作品、原型
recount,詳しく話す
管理職の、経営上のintervene,介在する、口をはさむ
delete,削除する
solicit,求める
comprehend,理解する
emerging,新たに現れた、新興の
verify,実証する
proficiency,熟達、スキルの高さ、高い能力
disclose,明らかにする
embark on,着手する、乗り出す
scenic,眺めがいい、景色の
scatter,まきちらす
acclaimed,絶賛されている、評価された
concede,譲歩する
delegare,委譲する、委任する
resistant,耐えられる、抵抗力のある
disseminate,普及させる
nationwide,全国的な／全国的に
file,提出する
applaud,拍手する
datergent,洗剤
resemble,似ている
hands-on,実地の、実用的な
emerge,現れる
plummet,急落する
spectacular,壮観な、目を見張るほどの
conform,従う、一致する
entrepreneur,起業家
streamline,合理化する、簡略化する
break down,故障する
introductory,入門の、最初の、お試しの
dilute,薄める
screening,上映、検査
rectify,是正する
put through,電話をつなぐ
lengthy,長期にわたる、冗長な
retrieve,取り出す、取り戻す
misplace,紛失する、置き忘れる
reminisce,懐かしむ
coincide,同時に起こる
subsidiary,子会社
procrastinate,先延ばしにする
disruption,混乱、妨げ
incur,（損失や罰金等を）受ける
subside,弱まる
ongoing,進行中の、続いている
comply,従う
periodical,定期刊行物
portray,描写する、表現する
pull into,車を寄せる
reunion,同窓会、再会
facilitate,容易にする、促進する
rigorous,厳格な、厳密な
diagnose,診断する
exercise,使う、発揮する
embrace,積極的に受け入れる、快諾する
terminate,終わらせる
itemize,箇条書きにする
outweigh,上回る
waive,免除する、放棄する
shorten,短くする
occupancy,占有、占有人数
controversy,論争
coincidence,偶然
credentials,資格、経歴、資質
oversight,見落とし、手落ち、監視
drapery,カーテン
resolution,決議、解決策
turnaround,立て直し、好転、処理時間
clasp,留め具、金具
pavement,舗装道路
scrutiny,綿密な調査、凝視
excess,超過
concession,譲歩
amendment,改正、修正
apprentice,見習い、実習生
capability,能力
liaison,連絡係、調整
depression,不景気
intermission,休憩時間
retention,保持
amenity,娯楽、生活を便利にするもの
exclusion,除外
superintendent,監督、管理者
roster,当番表
malfunction,不調、故障
momentum,勢い
lapse,時間の経過／失効する、うっかりミスをする
tenure,在任期間
turnout,参加者数
bond,債権、公債、きずな
remuneration,報酬
observance,行事、順序
accrued,未収の
commensurate,釣り合った、比例した、見合った
pointless,無意味な
anonymous,匿名の
stringent,厳しい
integral,重要な
admirable,称賛に値する
mandatory,義務の、強制の
cozy,居心地のよい
exempt,免除された
internal,内部の
obligatory,義務的な
supplementary,付加的な
obsolete,古式の
prohibitive,高額な、法外な
sluggish,停滞した、不景気な、のろい
stagnant,停滞気味の
insufficient,不十分な
negligent,無頓着な
exclusive,限定の、独占的な
resounding,際だった
correspondingly,それに応じて
tentatively,仮に、試験的に
rightfully,正しく、正当に
emphatically,断固として、きっぱりと
customarily,習慣的に
thereby,それにより
incidentally,たまたま、ついでに言えば
comparatively,比較的
inadvertently,不注意に、うっかり
eloquently,雄弁に
contractually,契約により
literally,文字通り
thoroughly,徹底的に
in keeping with,に沿って、準拠して
in accordance with,に従って、と一致させて
amid,に囲まれて
in light of,を考慮すると
pending,を待つ間、まで
thoughtfully,深く考えて、思慮深く、配慮して
abridged,要約された、短縮された
carpool,相乗りする／相乗り
compatible,相性が良い、互換性がある、共存できる
explicit,明白な、明確な
keenly,痛烈に、鋭く
plaque,盾
centerpiece,中心に置かれる装備品、中心になるもの
privileged,光栄な
recur,再発する
skeptical,懐疑的な、疑い深い
artifact,（歴史的・文化的価値のある）工芸品、手工品
breathtaking,息をのむほどの、驚くべき
cubicle,個別の作業スペース
perishable,傷みやすい、腐りやすい
avid,熱心な、熱烈な
expedite,早める、促進させる
vicinity,近所、近辺
affiliated,提携した、関連のある
definitive,決定版の、最終的な
demolish,（建物を）解体する、取り壊す
installment,分割払いの1回分
redeemable,（現金や商品と）交換可能な
insulation,（音、熱、電気等を）防ぐこと
deteriorate,悪化する
bearer,（小切手やクーポン等の）持参人
unprecedented,前例のない
botanical,植物の、植物学の
deliberation,熟考
discreetly,分別を持って、思慮深く
entail,必要とする、を伴う
fluctuation,変動
foremost,最高の、トップの
imperative,急を要する、非常に重要な
meticulously,細心の注意を払って、きちょう面に
outreach,福祉活動、支援活動
alleviate,和らげる、軽減する
exemplary,模範的な
gala,祝祭、祭り
mural,壁面
proprietor,オーナー、所有者
testimonial,推薦文、推薦の声
fraud,詐欺
vigorous,活気のある、精力的な
retreat,研修旅行
forge,築く、構築する
impending,間近に迫った、差し迫った
objectionable,不快な、気に障る
repave,再舗装する
shortcoming,欠点、短所
memorabilia,記念品、思い出の品
jeopardy,危機、危険
deviate,それる
forfeit,没収される、剥奪される／罰金、犠牲
bolster,強化する、補強する、鼓舞する
optimal,ベストの、最適な
purveyor,供給業者、販売業者
raffle,福引
ventilation,換気、風通し
unwavering,ゆるがぬ、断固とした
exponentially,加速度的に、指数関数的に
ler. ,読む。
anyway ,とにかく
following ,次
available ,利用 可能
department ,部署
conference ,会議
according to ,聞いたところでは
equipment ,機器
ler. ,読む。
anyway ,とにかく
following ,次
available ,利用 可能
department ,部署
conference ,会議
according to ,聞いたところでは
equipment ,機器
ler. ,読む。
anyway ,とにかく
following ,次
available ,利用 可能
department ,部署
conference ,会議
according to ,聞いたところでは
equipment ,機器
ler. ,読む。
anyway ,とにかく
following ,次
available ,利用 可能
department ,部署
conference ,会議
according to ,聞いたところでは
equipment ,機器
